,mean
10104.0,0.020955770088751352
10107.0,0.018042222819002886
10138.0,0.016959324385854246
10145.0,0.012696764080237602
10516.0,0.007059315746245171
10696.0,0.015332998857952876
10909.0,0.0230696936501211
11308.0,0.0077276233231422355
11403.0,0.014933886764573131
11404.0,0.006669401875909393
11600.0,0.01264779273370373
11618.0,0.017973694280418267
11674.0,0.007268961987917507
11762.0,0.011680175485411374
11786.0,0.019126940230429545
11850.0,0.005323109806187765
11891.0,0.017107825476296485
11955.0,0.011751338575286983
12052.0,0.014515496341263113
12060.0,0.005908050940325088
12062.0,0.00839047128669001
12073.0,0.014915366486514807
12084.0,0.028354695919252212
12308.0,0.02607982360602667
12345.0,0.018874373525422324
12369.0,0.007300645451517853
12448.0,0.016014586454128923
12449.0,0.021479724598192466
12490.0,0.006862455687092973
12542.0,0.002734523377859454
12558.0,-0.0006946547431082007
12622.0,0.019632375177499165
12623.0,0.015582808944328229
12650.0,0.022862253403493772
12872.0,0.015399922019450936
12981.0,0.02000450248296033
13035.0,0.016177225360035286
13103.0,0.024255101716016
13323.0,0.061256721776172196
13356.0,0.014644057277573766
13407.0,0.026342292067167147
13447.0,0.03490289667629656
13586.0,0.010100466219997228
13641.0,0.02124273815970508
13721.0,0.017012282079097465
13760.0,0.010603255600753782
13788.0,0.018697931993383154
13856.0,0.008310900748299864
13901.0,0.01152721362959132
13911.0,0.01760191356324396
13928.0,0.007465458080567697
13936.0,0.012274201518166642
13949.0,0.02427342146778581
13963.0,0.005824304474765706
13964.0,0.00553802227958451
14008.0,0.015346864662309997
14277.0,0.005714452520529587
14295.0,0.013280617858515507
14297.0,0.013796903382046588
14338.0,0.01315705406363413
14541.0,0.007209251000930111
14542.0,0.01631183110644575
14579.0,0.05129958750535969
14593.0,0.02333200291999443
14702.0,0.021924006623948163
14704.0,0.016902646635530077
14714.0,0.02618535390805739
14763.0,0.026150853419086177
14776.0,0.011646880823286715
14882.0,0.05779226083527262
14889.0,0.012543169026277962
14939.0,0.020613253566974844
15069.0,0.006494121029540388
15202.0,0.00982285895972355
15291.0,0.04537450663964469
15408.0,-0.006091581146134996
15488.0,0.03012224195347668
15579.0,0.016949473247367088
15707.0,0.010554921932414663
15720.0,0.006980360741731371
15850.0,0.04567862224278389
16600.0,0.009480931454289855
16678.0,0.00970077636629391
17005.0,0.00787853229735084
17144.0,0.0067002467238667955
17478.0,0.013257802064543571
17743.0,0.011386442899020114
17750.0,0.007443629324008704
17830.0,0.010993587778652662
18163.0,0.008721744762378324
18411.0,0.008893150025824973
18542.0,0.013697972976878775
18729.0,0.009744228933744789
19166.0,0.01141727452947795
19350.0,0.013146096193069867
19393.0,0.0071403719503633735
19502.0,0.00897009571244077
19561.0,0.009770392779516888
19583.0,0.00396650875078228
20482.0,0.01006607937086334
21020.0,0.0036290072286959546
21178.0,0.012733810264498966
21186.0,0.006723177322705852
21207.0,0.007016096722033875
21371.0,0.009328643690711621
21573.0,0.006582468677739875
21776.0,0.00783576348622294
21792.0,0.006801926868159701
21936.0,0.009285246121397984
22103.0,0.008577536316538008
22111.0,0.009410650762283791
22293.0,0.012873847317736886
22509.0,0.009710408706027865
22517.0,0.006758950782050519
22592.0,0.007892131170561315
22752.0,0.00797003178961376
22779.0,0.010191683590433558
23026.0,0.005610860690891289
23229.0,0.006214039640374198
23393.0,0.012427718974071326
23473.0,0.009549281632390456
23536.0,0.008235284107128201
23579.0,0.010801670570687032
23660.0,0.013959705812234928
23712.0,0.008019012297814652
23819.0,0.008220805742378616
23931.0,0.008009812486282651
24010.0,0.007555337504680899
24053.0,0.006730988515402421
24109.0,0.006680170192887072
24205.0,0.011181527408677177
24643.0,0.007043280527446618
24766.0,0.0132263131812274
24985.0,0.006368701812754894
25081.0,0.009460862561173978
25232.0,0.013076075664433891
25320.0,0.005567105353994473
25419.0,0.011012466167856423
25582.0,0.01352956215152464
25785.0,0.009232486784212552
25953.0,0.010793090255497078
26403.0,0.01011344422056214
26710.0,0.005773033867481183
26825.0,0.005370171601569776
27828.0,0.012095121459220974
27887.0,0.009050290360062704
27959.0,0.0068029961960782035
27991.0,0.008330530193854711
28222.0,0.010830637884830109
28388.0,0.010611746989337095
28484.0,0.006913242305620701
28804.0,0.011055863998943307
29946.0,0.0113728587890659
30681.0,0.011409320373331377
32870.0,0.009800395055639954
32986.0,0.008990722565211086
34032.0,0.010261406087447623
34746.0,0.011526512937620408
34817.0,0.011284328291335289
34833.0,0.007495012771562789
35044.0,0.0076799374693996905
35554.0,0.010949496416144896
36003.0,0.012412460908674377
36468.0,0.013899243630189687
